Mass,Relative%,Description
142.047825,0.17%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and glycine(add Na+); threonine(add Na+); decarboxylation coupling (RCOOR') product of glycine and 3-hydroxypropionic acid(add Na+); decarboxylation coupling (R-R') product of glycine and malic acid(add Na+); decarboxylation coupling (R-R') product of malonic acid and serine(add Na+), with the error of 0.0002. adduct of cytosine with NO radical(add H+), with the error of 0.0012."
366.214028,0.06%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and guanosine(add K+), with the error of 0.002. decarboxylation coupling (R-R') product of glutathione and leucine(add NH4+), with the error of 0.004."
200.106664,0.02%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and histidine(add H+); adduct of guanine with CH3O radical(add NH4+); adduct of 6-hydroxyoctanoic acid with OH radical(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and histidine(add H+); decarboxylation coupling (R-R') product of histidine and malic acid(add H+), with the error of 0.0037. decarboxylation C-N coupling product of malic acid and histamine(add H+), with the error of 0.0027.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and phenylalanine(add Na+), with the error of 0.0017.decarboxylation coupling (R-R') product of fumaric acid and histidine(add H3O+), with the error of 0.0003.decarboxylation C-N coupling product of fumaric acid and histamine(add H3O+), with the error of 0.0013."
168.093673,0.04%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and serine(add H3O+); decarboxylation coupling (R-R') product of malic acid and serine(add H3O+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and serine(add H3O+), with the error of 0.0017. "
192.03288,0.08%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and taurine(add Na+), with the error of 0.0019. decarboxylation coupling (RCOOR') product of glyoxylic acid and n-acetyl cysteine(add H+), with the error of 0.0009.decarboxylation C-N coupling product of fumaric acid and cysteine(add H+); decarboxylation coupling (RCOOR') product of cysteine and fumaric acid(add H+), with the error of 0.0001."
309.138829,0.08%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and thiamine(self), with the error of 0.0008. decarboxylation coupling (R-R') product of 3-hydroxypropionic acid and n-acetyl neuraminic acid(self), with the error of 0.0032."
248.0896,0.10%,"decarboxylation C-N coupling product of 3-hydroxypropionic acid and tyrosine(add Na+); decarboxylation coupling (R-R') product of malic acid and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and tyrosine(add Na+); reductive amination product of dopamine and pyruvic acid(add Na+), with the error of 0.0004. "
472.137679,0.01%,"decarboxylation C-N coupling product of 4-aminobenzoic acid and gmp(add NH4+), with the error of 0.0027. "
397.127092,0.02%,"decarboxylation C-N coupling product of 4-aminobenzoic acid and guanosine(add Na+), with the error of 0.0031. "
255.053254,0.04%,"decarboxylation C-N coupling product of 4-aminobenzoic acid and o-phosphorylethanolamine(add Na+), with the error of 0.0023. decarboxylation C-N coupling product of cystine and urea(add H+), with the error of 0.0047."
235.081551,0.01%,"decarboxylation C-N coupling product of 4-aminobenzoic acid and taurine(add H3O+), with the error of 0.0016. decarboxylation C-N coupling product of valine and o-phosphorylethanolamine(add Na+), with the error of 0.0004.adduct of tyrosine with CH3O radical(add Na+), with the error of 0.0014.decarboxylation coupling (RCOOR') product of fumaric acid and phenylalanine(self); decarboxylation C-N coupling product of fumaric acid and phenylalanine(self), with the error of 0.0024.decarboxylation C-N coupling product of histidine and taurine(add H+), with the error of 0.0044."
234.095516,0.04%,"decarboxylation C-N coupling product of 4-aminobenzoic acid and taurine(add NH4+), with the error of 0.0035. decarboxylation C-N coupling product of glutamine and cytosine(add Na+), with the error of 0.0005.reductive amination product of valine and oxaloacetic acid(add H+), with the error of 0.0025.decarboxylation C-N coupling product of malonic acid and serotonin(self), with the error of 0.0045."
395.256426,0.01%,"decarboxylation C-N coupling product of 4-aminobenzoic acid and thiamine(add K+), with the error of 0.0044. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and n-acetyl neuraminic acid(add K+), with the error of 0.0004."
209.092478,0.01%,"decarboxylation C-N coupling product of 4-pentenoic acid and asparagine(add Na+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and asparagine(add Na+), with the error of 0.0035. decarboxylation coupling (R-R') product of glutamine and itaconic acid(add Na+), with the error of 0.0025.adduct of ascorbic acid with CH3 radical(add NH4+), with the error of 0.0015.serotonin add 2 oxygens(add H+), with the error of 0.0005.decarboxylation C-N coupling product of serine and methionine(add H+); decarboxylation C-N coupling product of pyruvic acid and methionine(add NH4+); decarboxylation C-N coupling product of methionine and serine(add H+); decarboxylation coupling (RCOOR') product of methionine and serine(add H+); decarboxylation coupling (R-R') product of oxaloacetic acid and methionine(add NH4+); decarboxylation coupling (RCOOR') product of pyruvic acid and methionine(add NH4+), with the error of 0.0035."
561.037924,0.04%,"decarboxylation C-N coupling product of 4-pentenoic acid and atp(self), with the error of 0.0041. "
315.16537,0.03%,"decarboxylation C-N coupling product of 4-pentenoic acid and cytidine(add NH4+); decarboxylation C-N coupling product of valine and cytidine(add H+), with the error of 0.0016. "
436.123341,0.01%,"decarboxylation C-N coupling product of 4-pentenoic acid and gmp(add H3O+), with the error of 0.0037. "
320.163163,0.01%,"decarboxylation C-N coupling product of 4-pentenoic acid and thiamine(add H+), with the error of 0.0028. "
137.065299,1.61%,"decarboxylation C-N coupling product of 4-pentenoic acid and urea(add Na+), with the error of 0.0027. adduct of threonine with OH radical(add H+), with the error of 0.0037.adenine de-NH2 product(add NH4+); adduct of pyruvic acid with CH3O radical(add NH4+); adduct of alpha-ketobutyric acid with OH radical(add NH4+); adduct of serine with CH3O radical(add H+); adduct of malonic acid with CH3 radical(add NH4+), with the error of 0.0047."
377.118773,0.01%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and cystine(add Na+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and cystine(add Na+), with the error of 0.0008. "
358.199297,0.01%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and cytidine(add H+), with the error of 0.0013. decarboxylation C-N coupling product of cystine and spermidine(add H3O+), with the error of 0.0003."
243.183683,0.93%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and cytosine(add NH4+), with the error of 0.0017. decarboxylation C-N coupling product of glyoxylic acid and serotonin(add K+), with the error of 0.0033.tryptophan(add K+), with the error of 0.0043."
285.218088,0.09%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and dopamine(add NH4+), with the error of 0.0001. decarboxylation coupling (RCOOR') product of lysine and alpha-ketoglutaric acid(add K+); decarboxylation C-N coupling product of alpha-ketoglutaric acid and lysine(add K+), with the error of 0.0019."
294.19466,0.22%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and galactosamine(add H+); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and glucosamine(add H+), with the error of 0.0037. decarboxylation C-N coupling product of phenylalanine and arginine(add H+); decarboxylation C-N coupling product of arginine and phenylalanine(add H+); decarboxylation C-N coupling product of glutamine and serotonin(add NH4+); decarboxylation coupling (RCOOR') product of arginine and phenylalanine(add H+), with the error of 0.0017."
312.205197,0.02%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and glucosamine(add H3O+); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and galactosamine(add H3O+), with the error of 0.0008. adduct of thymidine with CH3O radical(add K+), with the error of 0.0018.decarboxylation C-N coupling product of arginine and phenylalanine(add H3O+); decarboxylation C-N coupling product of phenylalanine and arginine(add H3O+); decarboxylation coupling (RCOOR') product of arginine and phenylalanine(add H3O+), with the error of 0.0028."
280.195621,0.03%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and phenylalanine(add H+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and phenylalanine(add H+), with the error of 0.0046. reductive amination product of spermidine and oxaloacetic acid(add H3O+), with the error of 0.0036.decarboxylation C-N coupling product of malic acid and dopamine(add K+), with the error of 0.0026."
436.376711,0.01%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and sphingosine(add Na+), with the error of 0.0007. "
380.220614,0.02%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and thiamine(add H+), with the error of 0.0034. "
252.182483,0.02%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and threonine(add H3O+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and threonine(add H3O+), with the error of 0.0025. "
314.197015,0.01%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and tyrosine(add H3O+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and tyrosine(add H3O+), with the error of 0.004. "
334.279966,0.13%,"decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and tyrosine(add K+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and tyrosine(add K+), with the error of 0.004. "
249.16462,0.06%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and arginine(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and arginine(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and arginine(add H3O+), with the error of 0.0036. decarboxylation C-N coupling product of 4-pentenoic acid and serotonin(add H3O+), with the error of 0.0006.decarboxylation C-N coupling product of hydroxyproline and taurine(add K+), with the error of 0.0004.decarboxylation C-N coupling product of cysteine and adenine(add K+), with the error of 0.0014."
168.081087,0.10%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and cytosine(add H+), with the error of 0.0041. adduct of threonine with NO radical(add H3O+); adduct of asparagine with OH radical(add H3O+), with the error of 0.0021.decarboxylation C-N coupling product of glycine and cysteine(add NH4+); decarboxylation C-N coupling product of cysteine and glycine(add NH4+); decarboxylation coupling (RCOOR') product of glycine and cysteine(add NH4+), with the error of 0.0001.phenylalanine de-NH2 product(add H3O+), with the error of 0.0019."
232.097335,0.04%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and dopamine(add Na+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and phenylalanine(add Na+); decarboxylation coupling (R-R') product of malic acid and phenylalanine(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and phenylalanine(add Na+), with the error of 0.0023. decarboxylation coupling (RCOOR') product of histidine and malonic acid(add H3O+); decarboxylation C-N coupling product of malonic acid and histidine(add H3O+), with the error of 0.0003."
378.212987,0.05%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and guanosine(add K+), with the error of 0.003. "
226.216807,0.01%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and leucine(add K+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and leucine(add K+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and leucine(add K+), with the error of 0.0022. "
232.124565,0.02%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and serotonin(self), with the error of 0.0036. decarboxylation C-N coupling product of methionine and cytosine(add NH4+), with the error of 0.0016.adduct of n-acetyl cysteine with NO radical(add K+), with the error of 0.0014.decarboxylation C-N coupling product of hydroxyproline and glutamine(add H+); decarboxylation coupling (RCOOR') product of glutamine and hydroxyproline(add H+), with the error of 0.0044."
202.191742,0.20%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and spermidine(add H+), with the error of 0.0003. "
201.185124,0.01%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and spermidine(self), with the error of 0.0011. adduct of ornithine with NO radical(add K+), with the error of 0.0009."
340.16083,0.02%,"decarboxylation C-N coupling product of alpha-ketobutyric acid and thiamine(add H3O+), with the error of 0.0002. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and n-acetyl neuraminic acid(add H3O+), with the error of 0.0042."
447.075269,0.01%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and amp(self); decarboxylation C-N coupling product of itaconic acid and gmp(self), with the error of 0.0037. "
275.139607,0.09%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and arginine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and arginine(add H+), with the error of 0.0036. decarboxylation C-N coupling product of valine and tyrosine(add Na+); decarboxylation C-N coupling product of tyrosine and valine(add Na+); decarboxylation coupling (RCOOR') product of tyrosine and valine(add Na+), with the error of 0.0026.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and phenylalanine(add H3O+); decarboxylation C-N coupling product of 4-aminobenzoic acid and phenylalanine(add H3O+); decarboxylation C-N coupling product of phenylalanine and 4-aminobenzoic acid(add H3O+), with the error of 0.0044."
251.096406,0.03%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and asparagine(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and asparagine(add H3O+); decarboxylation C-N coupling product of oxaloacetic acid and glutamine(add H3O+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and glutamine(add H3O+), with the error of 0.0044. decarboxylation coupling (R-R') product of histidine and n-acetyl cysteine(add Na+), with the error of 0.0034.decarboxylation C-N coupling product of n-acetyl cysteine and histamine(add Na+), with the error of 0.0024.reductive amination product of galactosamine and pyruvic acid(self); reductive amination product of glucosamine and pyruvic acid(self), with the error of 0.0036."
358.073172,0.01%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and cystine(add NH4+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and cystine(add NH4+), with the error of 0.0018. "
229.09762,0.02%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and cytosine(add NH4+), with the error of 0.0036. decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and proline(add Na+); decarboxylation C-N coupling product of proline and 4-aminobenzoic acid(add Na+), with the error of 0.0026.decarboxylation C-N coupling product of asparagine and taurine(add NH4+), with the error of 0.0006.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H+); decarboxylation C-N coupling product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H+), with the error of 0.0004.adduct of serotonin with Cl radical(add NH4+); decarboxylation C-N coupling product of cysteine and leucine(add Na+); decarboxylation C-N coupling product of leucine and cysteine(add Na+); decarboxylation coupling (RCOOR') product of cysteine and leucine(add Na+); decarboxylation C-N coupling product of proline and o-phosphorylethanolamine(add H3O+), with the error of 0.0014.decarboxylation C-N coupling product of cysteine and dopamine(add H+), with the error of 0.0034."
430.08708,0.10%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and glutathione(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and glutathione(add Na+), with the error of 0.0029. "
407.095215,0.07%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and glutathione(self); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and glutathione(self), with the error of 0.0048. "
270.085301,0.03%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanine(add H3O+); reductive amination product of adenine and oxaloacetic acid(add H3O+), with the error of 0.0027. "
270.091947,0.26%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanine(add H3O+); reductive amination product of adenine and oxaloacetic acid(add H3O+), with the error of 0.0039. decarboxylation coupling (R-R') product of cystine and threonine(add H+), with the error of 0.0021.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and cystine(add NH4+), with the error of 0.0031.reductive amination product of valine and alpha-ketoglutaric acid(add Na+); reductive amination product of leucine and oxaloacetic acid(add Na+), with the error of 0.0041."
384.118209,0.11%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanosine(add H+), with the error of 0.0022. decarboxylation coupling (RCOOR') product of cysteine and n-acetyl neuraminic acid(self); decarboxylation C-N coupling product of 4-pentenoic acid and glutathione(add Na+); decarboxylation C-N coupling product of n-acetyl neuraminic acid and cysteine(self); decarboxylation coupling (RCOOR') product of glutathione and 4-pentenoic acid(add Na+), with the error of 0.0018."
406.099116,0.14%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanosine(add Na+), with the error of 0.0011. decarboxylation C-N coupling product of serine and amp(self), with the error of 0.0009.gmp add CH3CO+ (from CH3CN) product(self); gmp add CH3CO+ (from CH3CN) product(self), with the error of 0.0039."
269.114769,0.03%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and lysine(add Na+); decarboxylation coupling (RCOOR') product of lysine and alpha-ketoglutaric acid(add Na+), with the error of 0.0028. decarboxylation coupling (RCOOR') product of oxaloacetic acid and phenylalanine(add NH4+); decarboxylation coupling (RCOOR') product of fumaric acid and tyrosine(add NH4+); decarboxylation C-N coupling product of fumaric acid and tyrosine(add NH4+); decarboxylation C-N coupling product of oxaloacetic acid and phenylalanine(add NH4+), with the error of 0.0008."
271.206246,0.09%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and ornithine(add K+); reductive amination product of glutamine and alpha-ketobutyric acid(add K+); decarboxylation C-N coupling product of oxaloacetic acid and lysine(add K+); decarboxylation coupling (RCOOR') product of lysine and oxaloacetic acid(add K+); decarboxylation coupling (RCOOR') product of ornithine and alpha-ketoglutaric acid(add K+), with the error of 0.0022. "
384.153638,0.03%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and thiamine(add H3O+), with the error of 0.0026. decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and n-acetyl neuraminic acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and n-acetyl neuraminic acid(add H3O+), with the error of 0.0014.decarboxylation coupling (RCOOR') product of glutathione and serine(add NH4+); decarboxylation C-N coupling product of glutathione and serine(add NH4+); decarboxylation C-N coupling product of serine and glutathione(add NH4+), with the error of 0.0024."
654.129837,0.03%,"decarboxylation C-N coupling product of arginine and atp(add H3O+), with the error of 0.0048. "
371.191513,0.02%,"decarboxylation C-N coupling product of arginine and cytidine(self), with the error of 0.0005. "
240.154197,0.01%,"decarboxylation C-N coupling product of arginine and cytosine(add H+); decarboxylation C-N coupling product of valine and guanine(add NH4+), with the error of 0.0028. decarboxylation C-N coupling product of leucine and histidine(self); decarboxylation coupling (RCOOR') product of histidine and leucine(self); decarboxylation C-N coupling product of histidine and leucine(self), with the error of 0.0038."
257.186344,0.21%,"decarboxylation C-N coupling product of arginine and cytosine(add NH4+), with the error of 0.0023. reductive amination product of glutamine and pyruvic acid(add K+); reductive amination product of asparagine and alpha-ketobutyric acid(add K+); decarboxylation C-N coupling product of oxaloacetic acid and ornithine(add K+); decarboxylation coupling (RCOOR') product of ornithine and oxaloacetic acid(add K+), with the error of 0.0017.decarboxylation C-N coupling product of leucine and dopamine(add H3O+), with the error of 0.0047."
320.278379,0.01%,"decarboxylation C-N coupling product of arginine and dopamine(add K+), with the error of 0.0046. "
304.176847,0.02%,"decarboxylation C-N coupling product of arginine and dopamine(add Na+), with the error of 0.0018. decarboxylation C-N coupling product of oxaloacetic acid and galactosamine(add K+); decarboxylation C-N coupling product of oxaloacetic acid and glucosamine(add K+), with the error of 0.0002.reductive amination product of adenine and alpha-ketoglutaric acid(add K+), with the error of 0.0022.decarboxylation C-N coupling product of histidine and serotonin(add H3O+), with the error of 0.0042."
308.220085,0.01%,"decarboxylation C-N coupling product of arginine and o-phosphorylethanolamine(add K+), with the error of 0.0029. decarboxylation C-N coupling product of tryptophan and cytosine(add K+), with the error of 0.0049."
273.262284,0.28%,"decarboxylation C-N coupling product of arginine and spermidine(self), with the error of 0.0017. "
247.166914,0.05%,"decarboxylation C-N coupling product of arginine and threonine(self); decarboxylation C-N coupling product of threonine and arginine(self); decarboxylation coupling (RCOOR') product of arginine and threonine(self), with the error of 0.0029. decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and asparagine(add H+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and asparagine(add H+), with the error of 0.0019.decarboxylation C-N coupling product of valine and serotonin(self), with the error of 0.0011."
332.170874,0.07%,"decarboxylation C-N coupling product of arginine and tyrosine(add Na+); decarboxylation C-N coupling product of tyrosine and arginine(add Na+); decarboxylation coupling (RCOOR') product of arginine and tyrosine(add Na+), with the error of 0.0009. "
222.112842,0.17%,"decarboxylation C-N coupling product of asparagine and adenine(add H+); reductive amination product of asparagine and pyruvic acid(add NH4+); decarboxylation coupling (RCOOR') product of glutamine and malonic acid(add NH4+); decarboxylation C-N coupling product of malonic acid and glutamine(add NH4+), with the error of 0.0038. decarboxylation coupling (R-R') product of itaconic acid and tyrosine(add H+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and phenylalanine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and phenylalanine(add H+); decarboxylation C-N coupling product of alpha-ketobutyric acid and phenylalanine(add H+), with the error of 0.0002."
244.093107,7.40%,"decarboxylation C-N coupling product of asparagine and adenine(add Na+), with the error of 0.0021. decarboxylation coupling (RCOOR') product of histidine and malic acid(add H+); decarboxylation C-N coupling product of malic acid and histidine(add H+), with the error of 0.0001.cytidine(add H+), with the error of 0.0009.decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and phenylalanine(add Na+); decarboxylation C-N coupling product of alpha-ketobutyric acid and phenylalanine(add Na+); decarboxylation coupling (R-R') product of itaconic acid and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and phenylalanine(add Na+), with the error of 0.0019.decarboxylation C-N coupling product of fumaric acid and histidine(add H3O+); decarboxylation coupling (RCOOR') product of fumaric acid and histidine(add H3O+), with the error of 0.0039.decarboxylation C-N coupling product of cysteine and guanine(add NH4+), with the error of 0.0049."
452.136418,0.02%,"decarboxylation C-N coupling product of asparagine and amp(add H3O+), with the error of 0.0034. "
456.102425,0.03%,"decarboxylation C-N coupling product of asparagine and amp(add Na+), with the error of 0.0024. decarboxylation C-N coupling product of cysteine and gmp(add NH4+), with the error of 0.0046."
283.152251,0.08%,"decarboxylation C-N coupling product of asparagine and arginine(add Na+); decarboxylation coupling (RCOOR') product of arginine and asparagine(add Na+); decarboxylation C-N coupling product of arginine and asparagine(add Na+), with the error of 0.0033. reductive amination product of galactosamine and alpha-ketobutyric acid(add NH4+); decarboxylation product of n-acetyl neuraminic acid(add NH4+); reductive amination product of glucosamine and alpha-ketobutyric acid(add NH4+), with the error of 0.0013.decarboxylation coupling (R-R') product of glutamine and tryptophan(add Na+), with the error of 0.0007.decarboxylation C-N coupling product of hydroxyproline and glucosamine(add H3O+); decarboxylation C-N coupling product of hydroxyproline and galactosamine(add H3O+), with the error of 0.0017.decarboxylation C-N coupling product of histidine and histidine(add H3O+); decarboxylation coupling (RCOOR') product of histidine and histidine(add H3O+), with the error of 0.0027."
237.12785,0.06%,"decarboxylation C-N coupling product of asparagine and asparagine(add H3O+); decarboxylation coupling (RCOOR') product of asparagine and asparagine(add H3O+), with the error of 0.0049. adduct of uric acid with NO radical(add K+), with the error of 0.0038.decarboxylation C-N coupling product of pyruvic acid and serotonin(add H3O+); decarboxylation coupling (R-R') product of malonic acid and tryptophan(add H3O+), with the error of 0.0001.decarboxylation C-N coupling product of proline and methionine(add H3O+); decarboxylation coupling (RCOOR') product of methionine and proline(add H3O+), with the error of 0.0032."
241.093901,0.01%,"decarboxylation C-N coupling product of asparagine and asparagine(add Na+); decarboxylation coupling (RCOOR') product of asparagine and asparagine(add Na+); decarboxylation coupling (RCOOR') product of n-acetyl cysteine and serine(add H3O+); decarboxylation C-N coupling product of n-acetyl cysteine and serine(add H3O+), with the error of 0.0039. decarboxylation C-N coupling product of pyruvic acid and serotonin(add Na+); decarboxylation C-N coupling product of malic acid and dopamine(self); decarboxylation coupling (R-R') product of malonic acid and tryptophan(add Na+), with the error of 0.0011.decarboxylation C-N coupling product of proline and methionine(add Na+); decarboxylation coupling (RCOOR') product of methionine and proline(add Na+), with the error of 0.0041."
218.100948,0.14%,"decarboxylation C-N coupling product of asparagine and asparagine(self); decarboxylation coupling (RCOOR') product of asparagine and asparagine(self), with the error of 0.0009. decarboxylation C-N coupling product of oxaloacetic acid and leucine(add H+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and leucine(add H+); decarboxylation C-N coupling product of alpha-ketoglutaric acid and valine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and 4-pentenoic acid(add NH4+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and valine(add H+), with the error of 0.0021.decarboxylation coupling (R-R') product of malonic acid and tryptophan(self); decarboxylation C-N coupling product of pyruvic acid and serotonin(self), with the error of 0.0041."
616.032213,0.03%,"decarboxylation C-N coupling product of asparagine and atp(add Na+), with the error of 0.0008. "
265.128363,0.03%,"decarboxylation C-N coupling product of asparagine and galactosamine(self); decarboxylation C-N coupling product of asparagine and glucosamine(self), with the error of 0.0024. decarboxylation coupling (RCOOR') product of oxaloacetic acid and 6-hydroxyoctanoic acid(add H3O+), with the error of 0.0046."
388.162725,0.01%,"decarboxylation C-N coupling product of asparagine and guanosine(add H3O+), with the error of 0.0007. decarboxylation C-N coupling product of glutamine and thiamine(add Na+), with the error of 0.0023."
392.133563,0.03%,"decarboxylation C-N coupling product of asparagine and guanosine(add Na+), with the error of 0.0046. decarboxylation C-N coupling product of hydroxyproline and glutathione(self); reductive amination product of cytidine and alpha-ketoglutaric acid(add H3O+); decarboxylation coupling (RCOOR') product of glutathione and hydroxyproline(self), with the error of 0.0024."
385.332019,0.01%,"decarboxylation C-N coupling product of asparagine and sphingosine(self), with the error of 0.003. "
351.15736,0.01%,"decarboxylation C-N coupling product of asparagine and thiamine(self), with the error of 0.0016. "
146.081824,0.17%,"decarboxylation C-N coupling product of asparagine and urea(self), with the error of 0.0028. decarboxylation coupling (RCOOR') product of glyoxylic acid and 4-pentenoic acid(add NH4+); decarboxylation coupling (R-R') product of hydroxyproline and malonic acid(add H+); adduct of cytosine with OH radical(add NH4+); decarboxylation coupling (RCOOR') product of glyoxylic acid and valine(add H+); decarboxylation coupling (R-R') product of fumaric acid and threonine(add H+); decarboxylation C-N coupling product of glyoxylic acid and valine(add H+), with the error of 0.0008.adduct of hydroxyproline with CH3 radical(self); decarboxylation coupling (R-R') product of itaconic acid and serine(add H+); adduct of proline with CH3O radical(self); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and fumaric acid(add NH4+); decarboxylation coupling (R-R') product of pyruvic acid and itaconic acid(add NH4+), with the error of 0.0002."
293.191287,1.04%,"decarboxylation C-N coupling product of cysteine and galactosamine(add K+); decarboxylation C-N coupling product of cysteine and glucosamine(add K+), with the error of 0.0003. decarboxylation C-N coupling product of methionine and guanine(add K+), with the error of 0.0007."
383.105729,0.01%,"decarboxylation C-N coupling product of cysteine and glutathione(add H+); decarboxylation coupling (RCOOR') product of glutathione and cysteine(add H+); decarboxylation C-N coupling product of glutathione and cysteine(add H+), with the error of 0.0003. decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanosine(self), with the error of 0.0023."
461.063857,0.03%,"decarboxylation C-N coupling product of cysteine and gmp(add Na+), with the error of 0.0019. "
438.06823,0.04%,"decarboxylation C-N coupling product of cysteine and gmp(self), with the error of 0.0038. "
245.090515,0.08%,"decarboxylation C-N coupling product of cysteine and guanine(add H3O+), with the error of 0.0045. reductive amination product of cytosine and oxaloacetic acid(add NH4+), with the error of 0.0015.decarboxylation C-N coupling product of hydroxyproline and 4-aminobenzoic acid(add Na+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and hydroxyproline(add Na+), with the error of 0.0005.reductive amination product of o-phosphorylethanolamine and alpha-ketobutyric acid(add NH4+), with the error of 0.0005.decarboxylation coupling (RCOOR') product of methionine and threonine(add Na+); decarboxylation C-N coupling product of methionine and threonine(add Na+); decarboxylation C-N coupling product of threonine and methionine(add Na+), with the error of 0.0025.decarboxylation C-N coupling product of hydroxyproline and o-phosphorylethanolamine(add H3O+), with the error of 0.0035."
