Mass,Relative%,Description
251.096501,0.05%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and asparagine(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and asparagine(add H3O+); decarboxylation C-N coupling product of oxaloacetic acid and glutamine(add H3O+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and glutamine(add H3O+), with the error of 0.0045. decarboxylation coupling (R-R') product of histidine and n-acetyl cysteine(add Na+), with the error of 0.0035.decarboxylation C-N coupling product of n-acetyl cysteine and histamine(add Na+), with the error of 0.0025.reductive amination product of galactosamine and pyruvic acid(self); reductive amination product of glucosamine and pyruvic acid(self), with the error of 0.0035."
344.112206,0.02%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and cytidine(add H+), with the error of 0.0022. "
229.097671,0.12%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and cytosine(add NH4+), with the error of 0.0037. decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and proline(add Na+); decarboxylation C-N coupling product of proline and 4-aminobenzoic acid(add Na+), with the error of 0.0027.decarboxylation C-N coupling product of asparagine and taurine(add NH4+), with the error of 0.0007.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H+); decarboxylation C-N coupling product of 4-aminobenzoic acid and 4-aminobenzoic acid(add H+), with the error of 0.0003.adduct of serotonin with Cl radical(add NH4+); decarboxylation C-N coupling product of cysteine and leucine(add Na+); decarboxylation C-N coupling product of leucine and cysteine(add Na+); decarboxylation coupling (RCOOR') product of cysteine and leucine(add Na+); decarboxylation C-N coupling product of proline and o-phosphorylethanolamine(add H3O+), with the error of 0.0013.decarboxylation C-N coupling product of cysteine and dopamine(add H+), with the error of 0.0033."
430.087045,0.05%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and glutathione(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and glutathione(add Na+), with the error of 0.003. "
407.095235,0.04%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and glutathione(self); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and glutathione(self), with the error of 0.0048. "
463.077822,0.02%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and gmp(self); reductive amination product of amp and oxaloacetic acid(self), with the error of 0.0038. "
270.085439,0.02%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanine(add H3O+); reductive amination product of adenine and oxaloacetic acid(add H3O+), with the error of 0.0026. "
270.092085,0.23%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanine(add H3O+); reductive amination product of adenine and oxaloacetic acid(add H3O+), with the error of 0.0041. decarboxylation coupling (R-R') product of cystine and threonine(add H+), with the error of 0.0019.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and cystine(add NH4+), with the error of 0.0029.reductive amination product of valine and alpha-ketoglutaric acid(add Na+); reductive amination product of leucine and oxaloacetic acid(add Na+), with the error of 0.0039."
384.118279,0.05%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanosine(add H+), with the error of 0.0023. decarboxylation coupling (RCOOR') product of cysteine and n-acetyl neuraminic acid(self); decarboxylation C-N coupling product of 4-pentenoic acid and glutathione(add Na+); decarboxylation C-N coupling product of n-acetyl neuraminic acid and cysteine(self); decarboxylation coupling (RCOOR') product of glutathione and 4-pentenoic acid(add Na+), with the error of 0.0017."
406.099138,0.08%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and guanosine(add Na+), with the error of 0.0011. decarboxylation C-N coupling product of serine and amp(self), with the error of 0.0009.gmp add CH3CO+ (from CH3CN) product(self); gmp add CH3CO+ (from CH3CN) product(self), with the error of 0.0039."
232.123865,0.03%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and leucine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and leucine(add H+), with the error of 0.0049. decarboxylation C-N coupling product of alpha-ketobutyric acid and serotonin(self), with the error of 0.0029.decarboxylation C-N coupling product of methionine and cytosine(add NH4+), with the error of 0.0009.adduct of n-acetyl cysteine with NO radical(add K+), with the error of 0.0021."
269.114905,0.02%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and lysine(add Na+); decarboxylation coupling (RCOOR') product of lysine and alpha-ketoglutaric acid(add Na+), with the error of 0.0029. decarboxylation coupling (RCOOR') product of oxaloacetic acid and phenylalanine(add NH4+); decarboxylation coupling (RCOOR') product of fumaric acid and tyrosine(add NH4+); decarboxylation C-N coupling product of fumaric acid and tyrosine(add NH4+); decarboxylation C-N coupling product of oxaloacetic acid and phenylalanine(add NH4+), with the error of 0.0009."
271.206386,0.14%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and ornithine(add K+); reductive amination product of glutamine and alpha-ketobutyric acid(add K+); decarboxylation C-N coupling product of oxaloacetic acid and lysine(add K+); decarboxylation coupling (RCOOR') product of lysine and oxaloacetic acid(add K+); decarboxylation coupling (RCOOR') product of ornithine and alpha-ketoglutaric acid(add K+), with the error of 0.0024. "
384.153708,0.06%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and thiamine(add H3O+), with the error of 0.0027. decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and n-acetyl neuraminic acid(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and n-acetyl neuraminic acid(add H3O+), with the error of 0.0013.decarboxylation coupling (RCOOR') product of glutathione and serine(add NH4+); decarboxylation C-N coupling product of glutathione and serine(add NH4+); decarboxylation C-N coupling product of serine and glutathione(add NH4+), with the error of 0.0023."
238.101757,0.07%,"decarboxylation C-N coupling product of alpha-ketoglutaric acid and threonine(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and threonine(add H3O+); decarboxylation coupling (RCOOR') product of hydroxyproline and malic acid(add H3O+), with the error of 0.0048. decarboxylation C-N coupling product of itaconic acid and adenine(add H3O+), with the error of 0.0038.decarboxylation C-N coupling product of methionine and adenine(self), with the error of 0.0028.decarboxylation C-N coupling product of malic acid and asparagine(add NH4+); decarboxylation coupling (RCOOR') product of asparagine and malic acid(add NH4+); decarboxylation C-N coupling product of asparagine and guanine(add H+), with the error of 0.0022.decarboxylation C-N coupling product of itaconic acid and leucine(add Na+); decarboxylation coupling (RCOOR') product of itaconic acid and leucine(add Na+), with the error of 0.0042."
320.278565,0.02%,"decarboxylation C-N coupling product of arginine and dopamine(add K+), with the error of 0.0044. "
297.185668,0.03%,"decarboxylation C-N coupling product of arginine and guanine(add NH4+), with the error of 0.0043. "
247.162845,0.02%,"decarboxylation C-N coupling product of arginine and threonine(self); decarboxylation C-N coupling product of threonine and arginine(self); decarboxylation coupling (RCOOR') product of arginine and threonine(self), with the error of 0.0012. decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and asparagine(add H+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and asparagine(add H+), with the error of 0.0022."
247.167001,0.15%,"decarboxylation C-N coupling product of arginine and threonine(self); decarboxylation C-N coupling product of threonine and arginine(self); decarboxylation coupling (RCOOR') product of arginine and threonine(self), with the error of 0.003. decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and asparagine(add H+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and asparagine(add H+), with the error of 0.002.decarboxylation C-N coupling product of valine and serotonin(self), with the error of 0.001."
222.112879,0.16%,"decarboxylation C-N coupling product of asparagine and adenine(add H+); reductive amination product of asparagine and pyruvic acid(add NH4+); decarboxylation coupling (RCOOR') product of glutamine and malonic acid(add NH4+); decarboxylation C-N coupling product of malonic acid and glutamine(add NH4+), with the error of 0.0039. decarboxylation coupling (R-R') product of itaconic acid and tyrosine(add H+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and phenylalanine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and phenylalanine(add H+); decarboxylation C-N coupling product of alpha-ketobutyric acid and phenylalanine(add H+), with the error of 0.0001."
244.093188,6.83%,"decarboxylation C-N coupling product of asparagine and adenine(add Na+), with the error of 0.0022. decarboxylation coupling (RCOOR') product of histidine and malic acid(add H+); decarboxylation C-N coupling product of malic acid and histidine(add H+), with the error of 0.0002.cytidine(add H+), with the error of 0.0008.decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and phenylalanine(add Na+); decarboxylation C-N coupling product of alpha-ketobutyric acid and phenylalanine(add Na+); decarboxylation coupling (R-R') product of itaconic acid and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and phenylalanine(add Na+), with the error of 0.0018.decarboxylation C-N coupling product of fumaric acid and histidine(add H3O+); decarboxylation coupling (RCOOR') product of fumaric acid and histidine(add H3O+), with the error of 0.0038.decarboxylation C-N coupling product of cysteine and guanine(add NH4+), with the error of 0.0048."
456.102322,0.02%,"decarboxylation C-N coupling product of asparagine and amp(add Na+), with the error of 0.0023. decarboxylation C-N coupling product of cysteine and gmp(add NH4+), with the error of 0.0047."
283.15242,0.14%,"decarboxylation C-N coupling product of asparagine and arginine(add Na+); decarboxylation coupling (RCOOR') product of arginine and asparagine(add Na+); decarboxylation C-N coupling product of arginine and asparagine(add Na+), with the error of 0.0034. reductive amination product of galactosamine and alpha-ketobutyric acid(add NH4+); decarboxylation product of n-acetyl neuraminic acid(add NH4+); reductive amination product of glucosamine and alpha-ketobutyric acid(add NH4+), with the error of 0.0014.decarboxylation coupling (R-R') product of glutamine and tryptophan(add Na+), with the error of 0.0006.decarboxylation C-N coupling product of hydroxyproline and glucosamine(add H3O+); decarboxylation C-N coupling product of hydroxyproline and galactosamine(add H3O+), with the error of 0.0016.decarboxylation C-N coupling product of histidine and histidine(add H3O+); decarboxylation coupling (RCOOR') product of histidine and histidine(add H3O+), with the error of 0.0026."
237.124011,0.03%,"decarboxylation C-N coupling product of asparagine and asparagine(add H3O+); decarboxylation coupling (RCOOR') product of asparagine and asparagine(add H3O+), with the error of 0.001. adduct of uric acid with NO radical(add K+), with the error of 0.0.decarboxylation C-N coupling product of pyruvic acid and serotonin(add H3O+); decarboxylation coupling (R-R') product of malonic acid and tryptophan(add H3O+), with the error of 0.004."
237.127916,0.08%,"decarboxylation C-N coupling product of asparagine and asparagine(add H3O+); decarboxylation coupling (RCOOR') product of asparagine and asparagine(add H3O+), with the error of 0.0049. adduct of uric acid with NO radical(add K+), with the error of 0.0039.decarboxylation C-N coupling product of pyruvic acid and serotonin(add H3O+); decarboxylation coupling (R-R') product of malonic acid and tryptophan(add H3O+), with the error of 0.0001.decarboxylation C-N coupling product of proline and methionine(add H3O+); decarboxylation coupling (RCOOR') product of methionine and proline(add H3O+), with the error of 0.0031."
218.100979,0.11%,"decarboxylation C-N coupling product of asparagine and asparagine(self); decarboxylation coupling (RCOOR') product of asparagine and asparagine(self), with the error of 0.001. decarboxylation C-N coupling product of oxaloacetic acid and leucine(add H+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and leucine(add H+); decarboxylation C-N coupling product of alpha-ketoglutaric acid and valine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and 4-pentenoic acid(add NH4+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and valine(add H+), with the error of 0.002.decarboxylation coupling (R-R') product of malonic acid and tryptophan(self); decarboxylation C-N coupling product of pyruvic acid and serotonin(self), with the error of 0.004."
265.129413,0.02%,"decarboxylation C-N coupling product of asparagine and galactosamine(self); decarboxylation C-N coupling product of asparagine and glucosamine(self), with the error of 0.0034. decarboxylation coupling (RCOOR') product of oxaloacetic acid and 6-hydroxyoctanoic acid(add H3O+), with the error of 0.0036.decarboxylation C-N coupling product of 4-aminobenzoic acid and histidine(add H3O+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and histidine(add H3O+); decarboxylation C-N coupling product of tyrosine and cytosine(add H3O+); decarboxylation C-N coupling product of histidine and 4-aminobenzoic acid(add H3O+), with the error of 0.0046."
392.133617,0.05%,"decarboxylation C-N coupling product of asparagine and guanosine(add Na+), with the error of 0.0046. decarboxylation C-N coupling product of hydroxyproline and glutathione(self); reductive amination product of cytidine and alpha-ketoglutaric acid(add H3O+); decarboxylation coupling (RCOOR') product of glutathione and hydroxyproline(self), with the error of 0.0024."
387.176653,0.20%,"decarboxylation C-N coupling product of asparagine and guanosine(add NH4+), with the error of 0.0027. decarboxylation C-N coupling product of methionine and thiamine(add H3O+), with the error of 0.0033."
270.147162,0.02%,"decarboxylation C-N coupling product of asparagine and phenylalanine(add H3O+); decarboxylation C-N coupling product of phenylalanine and asparagine(add H3O+); decarboxylation coupling (RCOOR') product of asparagine and phenylalanine(add H3O+), with the error of 0.0018. "
351.157495,0.03%,"decarboxylation C-N coupling product of asparagine and thiamine(self), with the error of 0.0015. "
268.131748,0.27%,"decarboxylation C-N coupling product of asparagine and tyrosine(add H+); decarboxylation coupling (RCOOR') product of asparagine and tyrosine(add H+); decarboxylation C-N coupling product of tyrosine and asparagine(add H+), with the error of 0.0027. decarboxylation C-N coupling product of malic acid and o-phosphorylethanolamine(add K+), with the error of 0.0013."
146.081658,0.56%,"decarboxylation C-N coupling product of asparagine and urea(self), with the error of 0.0027. decarboxylation coupling (RCOOR') product of glyoxylic acid and 4-pentenoic acid(add NH4+); decarboxylation coupling (R-R') product of hydroxyproline and malonic acid(add H+); adduct of cytosine with OH radical(add NH4+); decarboxylation coupling (RCOOR') product of glyoxylic acid and valine(add H+); decarboxylation coupling (R-R') product of fumaric acid and threonine(add H+); decarboxylation C-N coupling product of glyoxylic acid and valine(add H+), with the error of 0.0007.adduct of hydroxyproline with CH3 radical(self); decarboxylation coupling (R-R') product of itaconic acid and serine(add H+); adduct of proline with CH3O radical(self); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and fumaric acid(add NH4+); decarboxylation coupling (R-R') product of pyruvic acid and itaconic acid(add NH4+), with the error of 0.0003."
205.083855,0.05%,"decarboxylation C-N coupling product of cysteine and cytosine(add H3O+), with the error of 0.0039. decarboxylation coupling (RCOOR') product of glutamine and malonic acid(add H+); reductive amination product of asparagine and pyruvic acid(add H+); decarboxylation C-N coupling product of malonic acid and glutamine(add H+), with the error of 0.0019.decarboxylation coupling (R-R') product of asparagine and n-acetyl cysteine(self), with the error of 0.0031."
273.12045,0.04%,"decarboxylation C-N coupling product of cysteine and galactosamine(add H3O+); decarboxylation C-N coupling product of cysteine and glucosamine(add H3O+), with the error of 0.0045. decarboxylation C-N coupling product of methionine and guanine(add H3O+), with the error of 0.0034.decarboxylation C-N coupling product of glycine and cytidine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and histidine(add NH4+); decarboxylation C-N coupling product of alpha-ketoglutaric acid and histidine(add NH4+), with the error of 0.0005.decarboxylation coupling (RCOOR') product of proline and tyrosine(add Na+); decarboxylation C-N coupling product of proline and tyrosine(add Na+); decarboxylation C-N coupling product of hydroxyproline and phenylalanine(add Na+); decarboxylation coupling (RCOOR') product of hydroxyproline and phenylalanine(add Na+), with the error of 0.0005.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and tyrosine(add H+); decarboxylation C-N coupling product of 4-aminobenzoic acid and tyrosine(add H+); decarboxylation C-N coupling product of tyrosine and 4-aminobenzoic acid(add H+), with the error of 0.0036."
293.191482,1.35%,"decarboxylation C-N coupling product of cysteine and galactosamine(add K+); decarboxylation C-N coupling product of cysteine and glucosamine(add K+), with the error of 0.0005. decarboxylation C-N coupling product of methionine and guanine(add K+), with the error of 0.0005."
169.072483,0.03%,"decarboxylation C-N coupling product of cysteine and glycine(add H3O+); decarboxylation C-N coupling product of asparagine and urea(add Na+); decarboxylation coupling (RCOOR') product of glycine and cysteine(add H3O+); decarboxylation C-N coupling product of glycine and cysteine(add H3O+), with the error of 0.0035. adduct of proline with CH3O radical(add Na+); adduct of hydroxyproline with CH3 radical(add Na+), with the error of 0.0005.dopamine add 1 oxygen(self), with the error of 0.0015.adduct of 4-aminobenzoic acid with CH3O radical(add H+), with the error of 0.0025.ribose(add H3O+), with the error of 0.0035.decarboxylation coupling (R-R') product of cysteine and proline(add Na+), with the error of 0.0045."
438.068174,0.03%,"decarboxylation C-N coupling product of cysteine and gmp(self), with the error of 0.0038. "
245.090597,0.07%,"decarboxylation C-N coupling product of cysteine and guanine(add H3O+), with the error of 0.0046. reductive amination product of cytosine and oxaloacetic acid(add NH4+), with the error of 0.0016.decarboxylation C-N coupling product of hydroxyproline and 4-aminobenzoic acid(add Na+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and hydroxyproline(add Na+), with the error of 0.0006.reductive amination product of o-phosphorylethanolamine and alpha-ketobutyric acid(add NH4+), with the error of 0.0004.decarboxylation coupling (RCOOR') product of methionine and threonine(add Na+); decarboxylation C-N coupling product of methionine and threonine(add Na+); decarboxylation C-N coupling product of threonine and methionine(add Na+), with the error of 0.0024.decarboxylation C-N coupling product of hydroxyproline and o-phosphorylethanolamine(add H3O+), with the error of 0.0034."
240.147105,0.02%,"decarboxylation C-N coupling product of cysteine and lysine(add H3O+); decarboxylation C-N coupling product of lysine and cysteine(add H3O+); decarboxylation coupling (RCOOR') product of lysine and cysteine(add H3O+), with the error of 0.0041. reductive amination product of galactosamine and acetone(add H3O+); reductive amination product of glucosamine and acetone(add H3O+), with the error of 0.0019."
235.057716,0.19%,"decarboxylation C-N coupling product of cysteine and o-phosphorylethanolamine(add H3O+), with the error of 0.0017. "
279.192248,0.05%,"decarboxylation C-N coupling product of cysteine and phenylalanine(add K+); decarboxylation C-N coupling product of phenylalanine and cysteine(add K+); decarboxylation C-N coupling product of methionine and 4-aminobenzoic acid(add K+); decarboxylation coupling (RCOOR') product of cysteine and phenylalanine(add K+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and methionine(add K+); decarboxylation C-N coupling product of 4-aminobenzoic acid and methionine(add K+), with the error of 0.0012. decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and glutamine(add H3O+); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and glutamine(add H3O+), with the error of 0.0038."
201.037495,0.05%,"decarboxylation C-N coupling product of cysteine and taurine(add H+), with the error of 0.0005. decarboxylation coupling (R-R') product of malic acid and malic acid(add Na+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and malic acid(add Na+), with the error of 0.0005.decarboxylation coupling (RCOOR') product of fumaric acid and itaconic acid(add H+), with the error of 0.0025."
297.138553,0.36%,"decarboxylation C-N coupling product of cysteine and tryptophan(add NH4+); decarboxylation coupling (RCOOR') product of cysteine and tryptophan(add NH4+); decarboxylation C-N coupling product of tryptophan and cysteine(add NH4+); adduct of thiamine with CH3O radical(add H+), with the error of 0.0004. decarboxylation C-N coupling product of n-acetyl cysteine and o-phosphorylethanolamine(add K+), with the error of 0.0024.decarboxylation coupling (R-R') product of lysine and cystine(add H+), with the error of 0.0034."
316.047043,0.06%,"decarboxylation C-N coupling product of cystine and cysteine(add H+); decarboxylation C-N coupling product of cysteine and cystine(add H+); decarboxylation coupling (RCOOR') product of cysteine and cystine(add H+), with the error of 0.001. "
323.09603,0.02%,"decarboxylation C-N coupling product of cystine and cytosine(add NH4+), with the error of 0.0. "
373.100349,0.03%,"decarboxylation C-N coupling product of cystine and galactosamine(self); decarboxylation C-N coupling product of cystine and glucosamine(self), with the error of 0.0033. "
345.069975,0.05%,"decarboxylation C-N coupling product of cystine and guanine(self), with the error of 0.003. "
305.102843,0.05%,"decarboxylation C-N coupling product of cystine and histamine(self), with the error of 0.0048. decarboxylation coupling (R-R') product of pyruvic acid and glutathione(self), with the error of 0.0012.adduct of thiamine with OH radical(add Na+), with the error of 0.0022."
360.103693,0.04%,"decarboxylation C-N coupling product of cystine and phenylalanine(add H+); decarboxylation C-N coupling product of phenylalanine and cystine(add H+); reductive amination product of cytidine and oxaloacetic acid(add H+); decarboxylation coupling (RCOOR') product of cystine and phenylalanine(add H+), with the error of 0.0013. "
538.179584,0.04%,"decarboxylation C-N coupling product of folic acid and taurine(add NH4+), with the error of 0.0044. "
220.097408,0.06%,"decarboxylation C-N coupling product of fumaric acid and asparagine(add NH4+); decarboxylation coupling (RCOOR') product of asparagine and fumaric acid(add NH4+), with the error of 0.0044. decarboxylation C-N coupling product of 3-hydroxypropionic acid and dopamine(add Na+), with the error of 0.0024."
204.042496,0.13%,"decarboxylation C-N coupling product of fumaric acid and cytosine(add Na+), with the error of 0.0045. adduct of ribose with Cl radical(add H3O+), with the error of 0.0025."
246.076792,0.08%,"decarboxylation C-N coupling product of fumaric acid and dopamine(add Na+); decarboxylation coupling (R-R') product of oxaloacetic acid and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of malonic acid and phenylalanine(add Na+); decarboxylation coupling (RCOOR') product of pyruvic acid and tyrosine(add Na+); decarboxylation C-N coupling product of malonic acid and phenylalanine(add Na+); decarboxylation C-N coupling product of pyruvic acid and tyrosine(add Na+), with the error of 0.0028. reductive amination product of 4-aminobenzoic acid and alpha-ketobutyric acid(add Na+), with the error of 0.0018.reductive amination product of cytosine and oxaloacetic acid(add H3O+), with the error of 0.0002.reductive amination product of o-phosphorylethanolamine and alpha-ketobutyric acid(add H3O+), with the error of 0.0022."
272.07496,0.03%,"decarboxylation C-N coupling product of fumaric acid and glucosamine(add Na+); decarboxylation C-N coupling product of fumaric acid and galactosamine(add Na+); decarboxylation coupling (R-R') product of cystine and malonic acid(add NH4+), with the error of 0.001. reductive amination product of threonine and alpha-ketoglutaric acid(add Na+), with the error of 0.0."
267.11848,0.57%,"decarboxylation C-N coupling product of fumaric acid and glucosamine(add NH4+); decarboxylation C-N coupling product of fumaric acid and galactosamine(add NH4+), with the error of 0.0005. reductive amination product of threonine and alpha-ketoglutaric acid(add NH4+), with the error of 0.0015.decarboxylation coupling (RCOOR') product of asparagine and tyrosine(self); decarboxylation C-N coupling product of tyrosine and asparagine(self); decarboxylation C-N coupling product of asparagine and tyrosine(self); decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and itaconic acid(add Na+), with the error of 0.0025."
255.17538,0.06%,"decarboxylation C-N coupling product of fumaric acid and glutamine(add K+); decarboxylation coupling (RCOOR') product of asparagine and itaconic acid(add K+); decarboxylation coupling (RCOOR') product of fumaric acid and glutamine(add K+); decarboxylation C-N coupling product of itaconic acid and asparagine(add K+), with the error of 0.0034. decarboxylation coupling (RCOOR') product of phenylalanine and valine(add H3O+); decarboxylation C-N coupling product of phenylalanine and valine(add H3O+); decarboxylation C-N coupling product of valine and phenylalanine(add H3O+), with the error of 0.0004.decarboxylation C-N coupling product of ornithine and lysine(add Na+); decarboxylation coupling (RCOOR') product of lysine and ornithine(add Na+); decarboxylation C-N coupling product of lysine and ornithine(add Na+), with the error of 0.0046."
146.0439,0.11%,"decarboxylation C-N coupling product of fumaric acid and glycine(add H+); decarboxylation coupling (RCOOR') product of glycine and fumaric acid(add H+), with the error of 0.0011. "
392.198402,0.86%,"decarboxylation C-N coupling product of fumaric acid and guanosine(add K+), with the error of 0.0034. "
244.101345,0.09%,"decarboxylation C-N coupling product of fumaric acid and histidine(add H3O+); decarboxylation coupling (RCOOR') product of fumaric acid and histidine(add H3O+), with the error of 0.0043. decarboxylation C-N coupling product of cysteine and guanine(add NH4+), with the error of 0.0033.decarboxylation C-N coupling product of glutamine and taurine(add H3O+), with the error of 0.0003.decarboxylation C-N coupling product of hydroxyproline and o-phosphorylethanolamine(add NH4+), with the error of 0.0047."
243.109152,0.03%,"decarboxylation C-N coupling product of fumaric acid and histidine(add NH4+); decarboxylation coupling (RCOOR') product of fumaric acid and histidine(add NH4+), with the error of 0.0002. decarboxylation C-N coupling product of 3-hydroxypropionic acid and serotonin(add Na+), with the error of 0.0018.decarboxylation C-N coupling product of glutamine and taurine(add NH4+), with the error of 0.0038.decarboxylation coupling (RCOOR') product of methionine and valine(add Na+); decarboxylation C-N coupling product of valine and methionine(add Na+); decarboxylation C-N coupling product of methionine and valine(add Na+), with the error of 0.0048."
275.103641,0.13%,"decarboxylation C-N coupling product of fumaric acid and tryptophan(add H+); decarboxylation coupling (RCOOR') product of fumaric acid and tryptophan(add H+), with the error of 0.0006. "
131.049465,0.12%,"decarboxylation C-N coupling product of fumaric acid and urea(add H+), with the error of 0.0045. uracil(add H3O+), with the error of 0.0005."
226.180468,0.04%,"decarboxylation C-N coupling product of fumaric acid and valine(add K+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and hydroxyproline(add K+); decarboxylation coupling (RCOOR') product of fumaric acid and valine(add K+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and hydroxyproline(add K+), with the error of 0.0015. decarboxylation coupling (R-R') product of 4-aminobenzoic acid and 6-hydroxyoctanoic acid(add H3O+), with the error of 0.0045."
235.119396,0.03%,"decarboxylation C-N coupling product of glutamine and adenine(self), with the error of 0.0024. decarboxylation C-N coupling product of 4-pentenoic acid and tyrosine(self); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and tyrosine(self), with the error of 0.0006.decarboxylation coupling (R-R') product of 4-aminobenzoic acid and phenylalanine(add Na+), with the error of 0.0016.decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and cysteine(self); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and cysteine(self), with the error of 0.0046."
240.110493,0.25%,"decarboxylation C-N coupling product of glutamine and cysteine(add H3O+); decarboxylation coupling (RCOOR') product of cysteine and glutamine(add H3O+); decarboxylation C-N coupling product of cysteine and glutamine(add H3O+), with the error of 0.0045. decarboxylation C-N coupling product of tyrosine and serine(self); decarboxylation coupling (RCOOR') product of serine and tyrosine(self); decarboxylation C-N coupling product of serine and tyrosine(self), with the error of 0.0005.decarboxylation C-N coupling product of pyruvic acid and galactosamine(add H3O+); decarboxylation C-N coupling product of pyruvic acid and glucosamine(add H3O+), with the error of 0.0015.reductive amination product of adenine and alpha-ketobutyric acid(add H3O+), with the error of 0.0035."
229.144407,0.85%,"decarboxylation C-N coupling product of glutamine and cytosine(add NH4+), with the error of 0.0034. decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and malic acid(add K+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and malic acid(add K+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and 3-hydroxypropionic acid(add K+), with the error of 0.0016."
269.124348,0.10%,"decarboxylation C-N coupling product of glutamine and glutamine(add Na+); decarboxylation coupling (RCOOR') product of glutamine and glutamine(add Na+), with the error of 0.0023. reductive amination product of arginine and pyruvic acid(add Na+), with the error of 0.0013.decarboxylation C-N coupling product of arginine and o-phosphorylethanolamine(self), with the error of 0.0007.reductive amination product of tryptophan and acetone(add Na+); decarboxylation C-N coupling product of tryptophan and cytosine(self), with the error of 0.0027."
464.130449,0.04%,"decarboxylation C-N coupling product of glutamine and gmp(add H+), with the error of 0.0014. folic acid(add Na+), with the error of 0.0004."
402.18214,0.07%,"decarboxylation C-N coupling product of glutamine and guanosine(add H3O+); decarboxylation C-N coupling product of tryptophan and cytidine(add H+), with the error of 0.0041. "
422.255233,0.08%,"decarboxylation C-N coupling product of glutamine and guanosine(add K+), with the error of 0.0022. "
268.141139,0.15%,"decarboxylation C-N coupling product of glutamine and methionine(add H3O+); decarboxylation coupling (RCOOR') product of glutamine and methionine(add H3O+); decarboxylation C-N coupling product of methionine and glutamine(add H3O+); decarboxylation C-N coupling product of n-acetyl cysteine and ornithine(add H3O+); decarboxylation coupling (RCOOR') product of ornithine and n-acetyl cysteine(add H3O+), with the error of 0.0041. decarboxylation coupling (R-R') product of hydroxyproline and tryptophan(add Na+); decarboxylation C-N coupling product of proline and serotonin(add Na+), with the error of 0.0009.decarboxylation C-N coupling product of 4-aminobenzoic acid and serotonin(add H+), with the error of 0.0039."
