Mass,Relative%,Description
209.114622,0.01%,"decarboxylation C-N coupling product of glycine and glucosamine(add H+); decarboxylation C-N coupling product of glycine and galactosamine(add H+), with the error of 0.0016. decarboxylation coupling (R-R') product of methionine and methionine(add H+); decarboxylation C-N coupling product of threonine and adenine(add H+); reductive amination product of threonine and pyruvic acid(add NH4+), with the error of 0.0006.decarboxylation C-N coupling product of 4-pentenoic acid and histidine(self); decarboxylation C-N coupling product of alpha-ketobutyric acid and adenine(add NH4+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and histidine(self); decarboxylation coupling (R-R') product of 6-hydroxyoctanoic acid and fumaric acid(add Na+); reductive amination product of serine and alpha-ketobutyric acid(add NH4+), with the error of 0.0004.decarboxylation coupling (RCOOR') product of hydroxyproline and serine(add H3O+); decarboxylation C-N coupling product of malonic acid and ornithine(add H3O+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and glutamine(add H3O+); decarboxylation coupling (RCOOR') product of ornithine and malonic acid(add H3O+); decarboxylation C-N coupling product of hydroxyproline and serine(add H3O+); decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and glutamine(add H3O+); decarboxylation coupling (R-R') product of glutamine and malic acid(add H3O+), with the error of 0.0034."
122.096231,0.19%,"decarboxylation C-N coupling product of glycine and glycine(add NH4+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and urea(add NH4+); decarboxylation coupling (RCOOR') product of glycine and glycine(add NH4+), with the error of 0.0032. decarboxylation product of phenylalanine(add H+), with the error of 0.0008."
112.050607,2.05%,"decarboxylation C-N coupling product of glycine and urea(add Na+), with the error of 0.0026. cytosine(add H+); adduct of acetone with CH3O radical(add Na+), with the error of 0.0004."
203.117535,0.60%,"decarboxylation C-N coupling product of glyoxylic acid and arginine(add H+); decarboxylation coupling (RCOOR') product of glyoxylic acid and arginine(add H+), with the error of 0.0035. reductive amination product of leucine and pyruvic acid(self); decarboxylation coupling (R-R') product of phenylalanine and serine(add Na+); reductive amination product of valine and alpha-ketobutyric acid(self), with the error of 0.0015.adduct of spermidine with Cl radical(add Na+), with the error of 0.0005.decarboxylation C-N coupling product of glycine and histidine(add H3O+); decarboxylation coupling (RCOOR') product of glycine and histidine(add H3O+); decarboxylation C-N coupling product of threonine and cytosine(add H3O+); decarboxylation C-N coupling product of histidine and glycine(add H3O+); adduct of malic acid with NO radical(add K+); decarboxylation coupling (R-R') product of pyruvic acid and tryptophan(add H+), with the error of 0.0005.adduct of dopamine with CH3O radical(add H3O+), with the error of 0.0035."
202.105854,0.02%,"decarboxylation C-N coupling product of glyoxylic acid and arginine(self); decarboxylation coupling (RCOOR') product of glyoxylic acid and arginine(self), with the error of 0.0001. decarboxylation C-N coupling product of itaconic acid and valine(add H+); decarboxylation C-N coupling product of fumaric acid and leucine(add H+); decarboxylation coupling (RCOOR') product of itaconic acid and valine(add H+); decarboxylation coupling (RCOOR') product of fumaric acid and leucine(add H+); decarboxylation coupling (RCOOR') product of 4-pentenoic acid and itaconic acid(add NH4+), with the error of 0.0021.decarboxylation coupling (R-R') product of pyruvic acid and tryptophan(self), with the error of 0.0041."
89.038612,0.01%,"decarboxylation C-N coupling product of glyoxylic acid and urea(add H+), with the error of 0.0046. "
245.128269,0.03%,"decarboxylation C-N coupling product of histidine and adenine(add H+); decarboxylation C-N coupling product of fumaric acid and arginine(add H+); decarboxylation coupling (RCOOR') product of arginine and fumaric acid(add H+); reductive amination product of histidine and pyruvic acid(add NH4+), with the error of 0.0033. decarboxylation C-N coupling product of proline and dopamine(add Na+); decarboxylation coupling (R-R') product of hydroxyproline and tyrosine(add Na+); reductive amination product of histamine and oxaloacetic acid(add NH4+), with the error of 0.0023.decarboxylation C-N coupling product of 4-aminobenzoic acid and leucine(add Na+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and leucine(add Na+); decarboxylation C-N coupling product of leucine and 4-aminobenzoic acid(add Na+), with the error of 0.0013.adduct of ascorbic acid with NO radical(add K+), with the error of 0.0003.decarboxylation C-N coupling product of 4-aminobenzoic acid and dopamine(add H+); decarboxylation coupling (R-R') product of itaconic acid and tryptophan(add H+), with the error of 0.0007.decarboxylation C-N coupling product of leucine and o-phosphorylethanolamine(add H3O+), with the error of 0.0027."
393.199918,0.01%,"decarboxylation C-N coupling product of histidine and thiamine(add H3O+), with the error of 0.0019. decarboxylation coupling (R-R') product of histidine and n-acetyl neuraminic acid(add H3O+), with the error of 0.0021.decarboxylation C-N coupling product of n-acetyl neuraminic acid and histamine(add H3O+), with the error of 0.0031."
348.069917,0.04%,"decarboxylation C-N coupling product of hydroxyproline and cystine(add Na+); decarboxylation coupling (RCOOR') product of cystine and hydroxyproline(add Na+), with the error of 0.0039. amp(add H+), with the error of 0.0011."
249.157025,0.01%,"decarboxylation C-N coupling product of hydroxyproline and glutamine(add NH4+); decarboxylation coupling (RCOOR') product of glutamine and hydroxyproline(add NH4+), with the error of 0.001. decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and adenine(self), with the error of 0.001.adduct of inositol with NO radical(add K+); adduct of galactose with NO radical(add K+); adduct of glucose with NO radical(add K+), with the error of 0.002.decarboxylation C-N coupling product of alpha-ketobutyric acid and arginine(add H3O+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and arginine(add H3O+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and arginine(add H3O+), with the error of 0.004."
146.096534,0.11%,"decarboxylation C-N coupling product of hydroxyproline and urea(add H+), with the error of 0.0045. "
384.311106,0.10%,"decarboxylation C-N coupling product of itaconic acid and sphingosine(add H+), with the error of 0.0001. decarboxylation coupling (RCOOR') product of elaidic acid and itaconic acid(add NH4+); decarboxylation coupling (RCOOR') product of itaconic acid and oleic acid(add NH4+), with the error of 0.0009."
145.064824,0.02%,"decarboxylation C-N coupling product of itaconic acid and urea(add H+); adduct of proline with NO radical(self), with the error of 0.0038. "
232.166991,0.02%,"decarboxylation C-N coupling product of leucine and glutamine(add H+); decarboxylation coupling (RCOOR') product of lysine and hydroxyproline(add H+); decarboxylation C-N coupling product of glutamine and leucine(add H+); decarboxylation coupling (RCOOR') product of glutamine and leucine(add H+); decarboxylation C-N coupling product of oxaloacetic acid and spermidine(add H+); decarboxylation C-N coupling product of hydroxyproline and lysine(add H+), with the error of 0.001. decarboxylation C-N coupling product of glyoxylic acid and phenylalanine(add K+); decarboxylation coupling (RCOOR') product of glyoxylic acid and phenylalanine(add K+), with the error of 0.004."
361.221215,0.06%,"decarboxylation C-N coupling product of lysine and cytidine(add NH4+), with the error of 0.0002. "
229.031694,0.01%,"decarboxylation C-N coupling product of malic acid and o-phosphorylethanolamine(self), with the error of 0.0033. adduct of ascorbic acid with Cl radical(add NH4+), with the error of 0.0043."
166.085785,0.44%,"decarboxylation C-N coupling product of malic acid and urea(add NH4+), with the error of 0.0028. decarboxylation coupling (R-R') product of alpha-ketobutyric acid and hydroxyproline(add Na+); decarboxylation coupling (R-R') product of fumaric acid and valine(add Na+), with the error of 0.0018.adduct of ribose with CH3 radical(add H+), with the error of 0.0008.decarboxylation coupling (R-R') product of glyoxylic acid and tyrosine(add H+), with the error of 0.0002.phenylalanine(add H+), with the error of 0.0012."
170.060087,0.03%,"decarboxylation C-N coupling product of malonic acid and cytosine(add H+), with the error of 0.0041. decarboxylation coupling (RCOOR') product of 4-pentenoic acid and fumaric acid(self), with the error of 0.0031.decarboxylation coupling (R-R') product of itaconic acid and itaconic acid(self), with the error of 0.0021.decarboxylation coupling (R-R') product of pyruvic acid and methionine(add Na+), with the error of 0.0009."
187.087066,0.02%,"decarboxylation C-N coupling product of malonic acid and cytosine(add NH4+), with the error of 0.0041. decarboxylation C-N coupling product of fumaric acid and valine(self); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and hydroxyproline(self); decarboxylation coupling (RCOOR') product of fumaric acid and valine(self); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and hydroxyproline(self), with the error of 0.0031.tryptophan de-OH product(self), with the error of 0.0001.decarboxylation coupling (R-R') product of methionine and serine(add Na+), with the error of 0.0009.adduct of 4-aminobenzoic acid with CH3O radical(add H3O+), with the error of 0.0029."
273.121117,0.12%,"decarboxylation C-N coupling product of methionine and guanine(add H3O+), with the error of 0.0041. decarboxylation C-N coupling product of glycine and cytidine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and histidine(add NH4+); decarboxylation C-N coupling product of alpha-ketoglutaric acid and histidine(add NH4+), with the error of 0.0011.decarboxylation coupling (RCOOR') product of proline and tyrosine(add Na+); decarboxylation C-N coupling product of proline and tyrosine(add Na+); decarboxylation C-N coupling product of hydroxyproline and phenylalanine(add Na+); decarboxylation coupling (RCOOR') product of hydroxyproline and phenylalanine(add Na+), with the error of 0.0001.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and tyrosine(add H+); decarboxylation C-N coupling product of 4-aminobenzoic acid and tyrosine(add H+); decarboxylation C-N coupling product of tyrosine and 4-aminobenzoic acid(add H+), with the error of 0.0029."
269.135414,0.24%,"decarboxylation C-N coupling product of methionine and phenylalanine(add H+); decarboxylation C-N coupling product of phenylalanine and methionine(add H+); decarboxylation coupling (RCOOR') product of methionine and phenylalanine(add H+), with the error of 0.0034. reductive amination product of galactosamine and pyruvic acid(add NH4+); reductive amination product of glucosamine and pyruvic acid(add NH4+), with the error of 0.0004.decarboxylation coupling (R-R') product of asparagine and tryptophan(add Na+); decarboxylation coupling (R-R') product of histidine and tyrosine(add Na+), with the error of 0.0016.decarboxylation C-N coupling product of tyrosine and histamine(add Na+), with the error of 0.0026."
400.261392,0.01%,"decarboxylation C-N coupling product of oleic acid and o-phosphorylethanolamine(add Na+); decarboxylation C-N coupling product of elaidic acid and o-phosphorylethanolamine(add Na+), with the error of 0.0024. "
146.117688,0.03%,"decarboxylation C-N coupling product of ornithine and urea(self), with the error of 0.0017. adduct of histamine with OH radical(add NH4+); decarboxylation coupling (R-R') product of leucine and malonic acid(add H+), with the error of 0.0003.adduct of leucine with CH3 radical(self), with the error of 0.0013.decarboxylation coupling (R-R') product of alpha-ketobutyric acid and proline(add H3O+), with the error of 0.0043."
215.081402,0.02%,"decarboxylation C-N coupling product of oxaloacetic acid and cytosine(add NH4+), with the error of 0.0034. decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and proline(self); decarboxylation C-N coupling product of threonine and o-phosphorylethanolamine(add H+); decarboxylation coupling (RCOOR') product of hydroxyproline and itaconic acid(self), with the error of 0.0024.decarboxylation C-N coupling product of alpha-ketobutyric acid and o-phosphorylethanolamine(add NH4+); serotonin add 1 oxygen(add Na+), with the error of 0.0014.decarboxylation coupling (R-R') product of n-acetyl cysteine and threonine(add Na+), with the error of 0.0006.decarboxylation C-N coupling product of cysteine and valine(add Na+); decarboxylation coupling (RCOOR') product of cysteine and valine(add Na+); decarboxylation C-N coupling product of valine and cysteine(add Na+), with the error of 0.0016.adduct of o-phosphorylethanolamine with Cl radical(add K+), with the error of 0.0046."
223.094003,0.08%,"decarboxylation C-N coupling product of oxaloacetic acid and threonine(add NH4+); decarboxylation coupling (R-R') product of methionine and n-acetyl cysteine(add H+); decarboxylation coupling (RCOOR') product of oxaloacetic acid and threonine(add NH4+), with the error of 0.001. decarboxylation C-N coupling product of fumaric acid and adenine(add NH4+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and serine(add NH4+); reductive amination product of glycine and alpha-ketoglutaric acid(add NH4+); decarboxylation C-N coupling product of alpha-ketoglutaric acid and serine(add NH4+), with the error of 0.0.decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and asparagine(self); decarboxylation C-N coupling product of 4-aminobenzoic acid and asparagine(self); decarboxylation C-N coupling product of asparagine and 4-aminobenzoic acid(self), with the error of 0.001.decarboxylation coupling (RCOOR') product of glutamine and malonic acid(add H3O+); reductive amination product of asparagine and pyruvic acid(add H3O+); decarboxylation C-N coupling product of malonic acid and glutamine(add H3O+), with the error of 0.003."
244.092293,0.03%,"decarboxylation C-N coupling product of phenylalanine and taurine(self), with the error of 0.0043. decarboxylation C-N coupling product of asparagine and adenine(add Na+), with the error of 0.0013.decarboxylation coupling (RCOOR') product of histidine and malic acid(add H+); decarboxylation C-N coupling product of malic acid and histidine(add H+), with the error of 0.0007.cytidine(add H+), with the error of 0.0017.decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and phenylalanine(add Na+); decarboxylation C-N coupling product of alpha-ketobutyric acid and phenylalanine(add Na+); decarboxylation coupling (R-R') product of itaconic acid and tyrosine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and phenylalanine(add Na+), with the error of 0.0027.decarboxylation C-N coupling product of fumaric acid and histidine(add H3O+); decarboxylation coupling (RCOOR') product of fumaric acid and histidine(add H3O+), with the error of 0.0047."
180.102148,1.16%,"decarboxylation C-N coupling product of proline and cytosine(self); decarboxylation coupling (R-R') product of itaconic acid and valine(add Na+); decarboxylation coupling (R-R') product of fumaric acid and leucine(add Na+), with the error of 0.0021. decarboxylation C-N coupling product of asparagine and glycine(add H3O+); decarboxylation coupling (R-R') product of pyruvic acid and tyrosine(add H+); decarboxylation coupling (RCOOR') product of glycine and asparagine(add H3O+); decarboxylation C-N coupling product of glycine and asparagine(add H3O+); decarboxylation coupling (R-R') product of malonic acid and phenylalanine(add H+), with the error of 0.0001.reductive amination product of 4-aminobenzoic acid and acetone(add H+); adduct of phenylalanine with CH3 radical(self), with the error of 0.0009."
130.097347,0.01%,"decarboxylation C-N coupling product of proline and urea(add H+), with the error of 0.0003. adduct of glyoxylic acid with OH radical(add K+), with the error of 0.0037.decarboxylation product of histidine(add H3O+), with the error of 0.0047."
129.090719,0.03%,"decarboxylation C-N coupling product of proline and urea(self), with the error of 0.0017. adduct of histamine with OH radical(add H+), with the error of 0.0003."
154.064621,0.01%,"decarboxylation C-N coupling product of pyruvic acid and cytosine(add H+); adduct of 4-pentenoic acid with CH3O radical(add Na+), with the error of 0.0036. adduct of serine with NO radical(add H3O+), with the error of 0.0006.decarboxylation coupling (R-R') product of 4-pentenoic acid and cysteine(add Na+), with the error of 0.0014.decarboxylation C-N coupling product of cysteine and urea(add H3O+), with the error of 0.0044."
103.054048,0.06%,"decarboxylation C-N coupling product of pyruvic acid and urea(add H+), with the error of 0.004. "
120.080732,0.53%,"decarboxylation C-N coupling product of pyruvic acid and urea(add NH4+); decarboxylation C-N coupling product of serine and urea(add H+), with the error of 0.0037. valine de-NH2 product(add H3O+), with the error of 0.0023."
191.090054,0.04%,"decarboxylation C-N coupling product of serine and asparagine(self); decarboxylation coupling (RCOOR') product of asparagine and serine(self); decarboxylation C-N coupling product of asparagine and serine(self), with the error of 0.0001. adduct of dopamine with CH3 radical(add Na+), with the error of 0.0029.decarboxylation coupling (R-R') product of fumaric acid and phenylalanine(self); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and 4-pentenoic acid(self); decarboxylation C-N coupling product of 4-pentenoic acid and 4-aminobenzoic acid(self), with the error of 0.0039.adduct of histidine with OH radical(add H3O+), with the error of 0.0049."
223.190968,0.13%,"decarboxylation C-N coupling product of threonine and cytosine(add K+); decarboxylation C-N coupling product of histidine and glycine(add K+); decarboxylation coupling (RCOOR') product of glycine and histidine(add K+); decarboxylation C-N coupling product of glycine and histidine(add K+), with the error of 0.002. "
156.076935,0.15%,"decarboxylation C-N coupling product of threonine and urea(add Na+), with the error of 0.0029. histidine(add H+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and cytosine(add H+), with the error of 0.0001.decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and 4-pentenoic acid(self); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and 4-pentenoic acid(self), with the error of 0.0011."
270.13929,0.02%,"decarboxylation C-N coupling product of tryptophan and cytosine(add H+); decarboxylation C-N coupling product of glutamine and guanine(add H3O+), with the error of 0.0043. decarboxylation coupling (R-R') product of arginine and n-acetyl cysteine(add Na+), with the error of 0.0033.reductive amination product of phenylalanine and alpha-ketobutyric acid(add H3O+), with the error of 0.0003."
376.259905,0.02%,"decarboxylation C-N coupling product of tryptophan and galactosamine(add K+); decarboxylation C-N coupling product of tryptophan and glucosamine(add K+), with the error of 0.0011. "
386.326926,0.05%,"decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and hydroxyproline(add H+), with the error of 0.0009. reductive amination product of sphingosine and alpha-ketobutyric acid(add H+), with the error of 0.0001.decarboxylation coupling (R-R') product of 3-hydroxypalmitic acid and tryptophan(self), with the error of 0.0021.decarboxylation coupling (RCOOR') product of hydroxyproline and oleic acid(add H3O+); decarboxylation coupling (RCOOR') product of elaidic acid and hydroxyproline(add H3O+), with the error of 0.0041."
385.292773,0.01%,"decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and itaconic acid(add H+), with the error of 0.0022. "
373.314305,0.16%,"decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and threonine(self); decarboxylation C-N coupling product of 12-hydroxystearic acid and threonine(self), with the error of 0.0037. "
372.34422,0.01%,"decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and valine(add H+); decarboxylation C-N coupling product of 12-hydroxystearic acid and valine(add H+); decarboxylation coupling (RCOOR') product of 12-hydroxystearic acid and 4-pentenoic acid(add NH4+), with the error of 0.0028. "
144.080989,0.11%,"decarboxylation coupling (RCOOR') product of 3-hydroxypropionic acid and 4-pentenoic acid(self); decarboxylation coupling (R-R') product of 4-pentenoic acid and malic acid(self), with the error of 0.003. decarboxylation product of phenylalanine(add Na+), with the error of 0.002."
248.210822,0.08%,"decarboxylation coupling (RCOOR') product of 4-pentenoic acid and histidine(add K+); decarboxylation C-N coupling product of 4-pentenoic acid and histidine(add K+), with the error of 0.0022. "
189.073226,0.09%,"decarboxylation coupling (RCOOR') product of 4-pentenoic acid and malic acid(add H+), with the error of 0.0028. "
159.067962,0.05%,"decarboxylation coupling (RCOOR') product of 4-pentenoic acid and malonic acid(add H+), with the error of 0.003. decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and alpha-ketobutyric acid(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and alpha-ketoglutaric acid(add H+), with the error of 0.002."
327.309351,0.01%,"decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and arginine(add K+); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and arginine(add K+), with the error of 0.0046. "
268.263016,0.09%,"decarboxylation coupling (RCOOR') product of 6-hydroxyoctanoic acid and proline(add K+), with the error of 0.002. "
145.050624,0.06%,"decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and pyruvic acid(add H+); decarboxylation coupling (R-R') product of alpha-ketobutyric acid and oxaloacetic acid(add H+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and pyruvic acid(add H+); decarboxylation coupling (R-R') product of itaconic acid and malonic acid(add H+), with the error of 0.0006. adduct of itaconic acid with CH3 radical(self), with the error of 0.0004."
223.062645,0.01%,"decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and 4-pentenoic acid(add Na+), with the error of 0.0046. "
265.110712,8.57%,"decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and glutamine(add H3O+); decarboxylation C-N coupling product of alpha-ketoglutaric acid and glutamine(add H3O+), with the error of 0.0027. thiamine(self), with the error of 0.0013."
261.170201,0.05%,"decarboxylation coupling (RCOOR') product of arginine and asparagine(add H+); decarboxylation C-N coupling product of arginine and asparagine(add H+); decarboxylation C-N coupling product of asparagine and arginine(add H+), with the error of 0.0032. reductive amination product of spermidine and oxaloacetic acid(self), with the error of 0.0012.decarboxylation coupling (R-R') product of glutamine and tryptophan(add H+), with the error of 0.0008."
295.194226,0.02%,"decarboxylation coupling (RCOOR') product of arginine and methionine(add NH4+); decarboxylation C-N coupling product of methionine and arginine(add NH4+); decarboxylation C-N coupling product of arginine and methionine(add NH4+), with the error of 0.0022. "
284.284633,0.46%,"decarboxylation coupling (RCOOR') product of arginine and valine(add K+); decarboxylation C-N coupling product of arginine and valine(add K+); decarboxylation C-N coupling product of valine and arginine(add K+), with the error of 0.0016. decarboxylation coupling (R-R') product of leucine and tryptophan(add K+), with the error of 0.0024."
232.115546,0.04%,"decarboxylation coupling (RCOOR') product of asparagine and glutamine(self); decarboxylation C-N coupling product of asparagine and glutamine(self); decarboxylation C-N coupling product of glutamine and asparagine(self), with the error of 0.0005. decarboxylation C-N coupling product of malonic acid and arginine(self); decarboxylation coupling (RCOOR') product of arginine and malonic acid(self), with the error of 0.0015.decarboxylation C-N coupling product of alpha-ketoglutaric acid and leucine(add H+); decarboxylation coupling (RCOOR') product of alpha-ketoglutaric acid and leucine(add H+), with the error of 0.0035."
322.053745,0.01%,"decarboxylation coupling (RCOOR') product of cystine and serine(add Na+); decarboxylation C-N coupling product of cystine and serine(add Na+); decarboxylation C-N coupling product of serine and cystine(add Na+), with the error of 0.0027. "
224.090904,0.02%,"decarboxylation coupling (RCOOR') product of fumaric acid and leucine(add Na+); decarboxylation coupling (RCOOR') product of itaconic acid and valine(add Na+); decarboxylation C-N coupling product of fumaric acid and leucine(add Na+); decarboxylation C-N coupling product of itaconic acid and valine(add Na+), with the error of 0.0009. decarboxylation C-N coupling product of fumaric acid and dopamine(add H+); decarboxylation coupling (RCOOR') product of malonic acid and phenylalanine(add H+); decarboxylation coupling (R-R') product of oxaloacetic acid and tyrosine(add H+); decarboxylation C-N coupling product of malonic acid and phenylalanine(add H+); decarboxylation coupling (RCOOR') product of pyruvic acid and tyrosine(add H+); decarboxylation C-N coupling product of pyruvic acid and tyrosine(add H+), with the error of 0.0011.reductive amination product of 4-aminobenzoic acid and alpha-ketobutyric acid(add H+), with the error of 0.0021."
210.075208,0.02%,"decarboxylation coupling (RCOOR') product of fumaric acid and valine(add Na+); decarboxylation coupling (R-R') product of alpha-ketoglutaric acid and hydroxyproline(add Na+); decarboxylation C-N coupling product of fumaric acid and valine(add Na+); decarboxylation coupling (RCOOR') product of alpha-ketobutyric acid and hydroxyproline(add Na+), with the error of 0.0012. decarboxylation C-N coupling product of proline and o-phosphorylethanolamine(self); decarboxylation C-N coupling product of glyoxylic acid and tyrosine(add H+); decarboxylation coupling (RCOOR') product of glyoxylic acid and tyrosine(add H+), with the error of 0.0008.reductive amination product of 4-aminobenzoic acid and pyruvic acid(add H+), with the error of 0.0018.adduct of ascorbic acid with CH3 radical(add H3O+), with the error of 0.0038."
228.231609,0.01%,"decarboxylation coupling (RCOOR') product of glycine and 6-hydroxyoctanoic acid(add K+); decarboxylation C-N coupling product of 6-hydroxyoctanoic acid and glycine(add K+); adduct of arginine with CH3 radical(add K+), with the error of 0.0024. "
175.094957,0.04%,"decarboxylation coupling (RCOOR') product of glycine and glutamine(self); decarboxylation C-N coupling product of glutamine and glycine(self); decarboxylation C-N coupling product of glycine and glutamine(self), with the error of 0.0. asparagine add CH3CO+ (from CH3CN) product(self); asparagine add CH3CO+ (from CH3CN) product(self), with the error of 0.003."
127.0503,0.02%,"decarboxylation coupling (RCOOR') product of glycine and glycine(add Na+); decarboxylation C-N coupling product of glycine and glycine(add Na+); decarboxylation C-N coupling product of 3-hydroxypropionic acid and urea(add Na+), with the error of 0.0023. adduct of uracil with CH3 radical(self), with the error of 0.0007."
312.290331,0.40%,"decarboxylation coupling (RCOOR') product of glycine and oleic acid(add H+); decarboxylation C-N coupling product of elaidic acid and glycine(add H+); decarboxylation C-N coupling product of oleic acid and glycine(add H+); decarboxylation coupling (RCOOR') product of glycine and elaidic acid(add H+), with the error of 0.0003. "
156.137846,0.01%,"decarboxylation coupling (RCOOR') product of glycine and pyruvic acid(add K+); decarboxylation coupling (R-R') product of glycine and oxaloacetic acid(add K+); decarboxylation C-N coupling product of pyruvic acid and glycine(add K+), with the error of 0.0022. "
323.223921,0.03%,"decarboxylation coupling (RCOOR') product of glyoxylic acid and 3-hydroxypalmitic acid(add Na+), with the error of 0.0049. decarboxylation C-N coupling product of arginine and serotonin(add H3O+), with the error of 0.0001."
337.104485,0.01%,"decarboxylation coupling (RCOOR') product of glyoxylic acid and n-acetyl neuraminic acid(self), with the error of 0.0045. adduct of guanosine with CH3O radical(add Na+), with the error of 0.0035."
144.065454,0.07%,"decarboxylation coupling (RCOOR') product of glyoxylic acid and proline(add H+), with the error of 0.0005. "
215.11784,0.05%,"decarboxylation coupling (RCOOR') product of histidine and serine(add H+); decarboxylation C-N coupling product of pyruvic acid and histidine(add NH4+); adduct of carnitine with CH3O radical(add Na+); decarboxylation coupling (RCOOR') product of pyruvic acid and histidine(add NH4+); decarboxylation coupling (R-R') product of oxaloacetic acid and histidine(add NH4+); decarboxylation C-N coupling product of histidine and serine(add H+); decarboxylation C-N coupling product of serine and histidine(add H+), with the error of 0.0038. reductive amination product of cytosine and alpha-ketobutyric acid(add NH4+); decarboxylation C-N coupling product of oxaloacetic acid and histamine(add NH4+), with the error of 0.0028.decarboxylation coupling (RCOOR') product of itaconic acid and leucine(self); decarboxylation C-N coupling product of itaconic acid and leucine(self), with the error of 0.0018.adduct of alpha-ketoglutaric acid with NO radical(add K+); decarboxylation C-N coupling product of hydroxyproline and cytosine(add H3O+), with the error of 0.0002.adduct of phenylalanine with CH3O radical(add H3O+); adduct of tyrosine with CH3 radical(add H3O+), with the error of 0.0032."
267.107024,0.38%,"decarboxylation coupling (RCOOR') product of hydroxyproline and n-acetyl cysteine(add H3O+), with the error of 0.002. decarboxylation coupling (RCOOR') product of arginine and fumaric acid(add Na+); decarboxylation C-N coupling product of fumaric acid and arginine(add Na+); decarboxylation coupling (R-R') product of cystine and valine(self); decarboxylation C-N coupling product of histidine and adenine(add Na+), with the error of 0.0.decarboxylation coupling (R-R') product of itaconic acid and tryptophan(add Na+); decarboxylation C-N coupling product of 4-aminobenzoic acid and dopamine(add Na+); reductive amination product of tyrosine and alpha-ketobutyric acid(self), with the error of 0.004.decarboxylation coupling (RCOOR') product of asparagine and n-acetyl cysteine(add NH4+); decarboxylation C-N coupling product of n-acetyl cysteine and asparagine(add NH4+), with the error of 0.005."
266.114417,1.10%,"decarboxylation coupling (RCOOR') product of hydroxyproline and n-acetyl cysteine(add NH4+); decarboxylation C-N coupling product of oxaloacetic acid and o-phosphorylethanolamine(add K+), with the error of 0.0026. "
368.31692,0.01%,"decarboxylation coupling (RCOOR') product of hydroxyproline and oleic acid(add H+); decarboxylation coupling (RCOOR') product of elaidic acid and hydroxyproline(add H+), with the error of 0.0009. "
222.075422,0.11%,"decarboxylation coupling (RCOOR') product of itaconic acid and proline(add Na+), with the error of 0.0014. tyrosine add H2O(add Na+), with the error of 0.0004.decarboxylation C-N coupling product of itaconic acid and 4-aminobenzoic acid(add H+); decarboxylation coupling (RCOOR') product of 4-aminobenzoic acid and itaconic acid(add H+), with the error of 0.0016.reductive amination product of methionine and pyruvic acid(add H+), with the error of 0.0046."
228.196213,0.01%,"decarboxylation coupling (RCOOR') product of leucine and malonic acid(add K+); decarboxylation C-N coupling product of malonic acid and leucine(add K+); reductive amination product of valine and pyruvic acid(add K+); decarboxylation C-N coupling product of 4-pentenoic acid and adenine(add K+), with the error of 0.0018. "
